"Indicator_Name","Indicator_Number","State","Type","Value","SE","CV","CI_Lower","CI_Upper","Indicator","Year"
"4. Estimated % of BLM range acres with BI = 3",2,"NV","2",3.13,1.55,0.494,1.15,5.11,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"NM","2",44.84,9.36,0.209,32.85,56.83,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"OR","1",4.47,1.81,0.405,2.15,6.8,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"OR","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"SD","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"UT","1",3.58,3.91,1.091,0,8.6,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"UT","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"WA","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"WY","1",1.55,0.92,0.59,0.38,2.73,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"WY","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
