"Indicator_Name","Indicator_Number","State","Type","Value","SE","CV","CI_Lower","CI_Upper","Indicator","Year"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"CA","1",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"CA","2",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"CO","1",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"CO","2",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"ID","1",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"ID","2",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"MT","1",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"MT","2",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"NV","1",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"NV","2",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"NM","2",2897352,1000780,0.345,1614801,4179903,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"OR","1",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"OR","2",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"SD","2",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"UT","1",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"UT","2",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"WA","2",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"WY","1",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",15,"WY","2",0,0,0,0,0,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"BLM","NA",10.63,1.36,0.128,8.88,12.38,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"AZ","2",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"CA","1",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"CA","2",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"CO","1",8.75,5.14,0.588,2.16,15.34,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"CO","2",5.44,3.87,0.712,0.48,10.4,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"ID","1",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"ID","2",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"MT","1",3.62,1.88,0.519,1.21,6.03,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"MT","2",75.83,34.99,0.461,30.98,100,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"NV","1",4.55,2.29,0.504,1.61,7.49,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"NV","2",5.32,2.39,0.45,2.25,8.39,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"NM","2",57.59,9.32,0.162,45.64,69.54,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"OR","1",7.31,2.2,0.301,4.5,10.13,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"OR","2",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"SD","2",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"UT","1",4.45,3.97,0.891,0,9.54,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"UT","2",4.15,3.22,0.777,0.02,8.28,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"WA","2",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"WY","1",7.68,2.06,0.268,5.04,10.31,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",16,"WY","2",11.45,16.03,1.4,0,31.99,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"BLM","NA",15835704,2060297,0.13,13195327,18476082,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"AZ","2",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"CA","1",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"CA","2",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"CO","1",146541,88432,0.603,33210,259871,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"CO","2",330345,233188,0.706,31503,629187,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"ID","1",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"ID","2",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"MT","1",253146,130462,0.515,85952,420340,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"MT","2",832115,526108,0.632,157880,1506349,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"NV","1",675634,342114,0.506,237197,1114070,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"NV","2",1812343,787997,0.435,802484,2822202,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"NM","2",8525900,1561108,0.183,6525259,10526541,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"OR","1",795767,240767,0.303,487212,1104322,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"OR","2",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"SD","2",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"UT","1",52356,50416,0.963,0,116967,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"UT","2",810180,627777,0.775,5650,1614709,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"WA","2",0,0,0,0,0,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"WY","1",1244671,342691,0.275,805494,1683847,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",16,"WY","2",356708,483802,1.356,0,976725,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"BLM","NA",66.75,1.96,0.029,64.24,69.26,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"AZ","2",76.5,7.67,0.1,66.67,86.33,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"CA","1",0,0,0,0,0,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"CA","2",0,0,0,0,0,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"CO","1",60.41,8.61,0.143,49.38,71.45,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"CO","2",32.95,12.29,0.373,17.2,48.7,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"ID","1",0,0,0,0,0,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"ID","2",0,0,0,0,0,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"MT","1",69.32,3.48,0.05,64.87,73.78,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"MT","2",24.17,34.99,1.448,0,69.02,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"NV","1",85.89,4.14,0.048,80.59,91.19,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"NV","2",84.74,5.34,0.063,77.9,91.59,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"NM","2",12.17,4.87,0.401,5.92,18.41,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"OR","1",75.56,3.87,0.051,70.61,80.52,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"OR","2",69.32,18.77,0.271,45.27,93.37,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"SD","2",100,98.26,0.983,0,100,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"UT","1",61.81,17.92,0.29,38.84,84.77,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"UT","2",90.13,4.2,0.047,84.74,95.52,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"WA","2",100,98.26,0.983,0,100,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"WY","1",43.98,3.18,0.072,39.92,48.05,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"37. Estimated % of BLM range acres that meet this condition",17,"WY","2",24.05,23.3,0.969,0,53.91,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"BLM","NA",103036583,2875296,0.028,99351743,106721423,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"AZ","2",11674362,1499222,0.128,9753032,13595692,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"CA","1",0,0,0,0,0,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"CA","2",0,0,0,0,0,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"CO","1",1395743,197402,0.141,1142762,1648724,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"CO","2",2000815,771802,0.386,1011711,2989919,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"ID","1",0,0,0,0,0,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"ID","2",0,0,0,0,0,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"MT","1",4845489,260841,0.054,4511207,5179770,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"MT","2",265251,361880,1.364,0,729020,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"NV","1",12749404,695274,0.055,11858374,13640433,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"NV","2",29183990,1826713,0.063,26842963,31525017,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"NM","2",2004196,803860,0.401,974008,3034384,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"OR","1",8295593,451342,0.054,7717175,8874011,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"OR","2",3279793,861957,0.263,2175151,4384436,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"SD","2",790060,776415,0.983,0,1785077,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"UT","1",726752,209643,0.288,458084,995421,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"UT","2",17599003,1386206,0.079,15822509,19375498,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"WA","2",346327,340303,0.983,0,782442,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"WY","1",7130565,592366,0.083,6371417,7889712,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"39. Estimated BLM range acres that meet this condition",17,"WY","2",749239,699419,0.934,0,1645580,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"BLM","NA",23.04,2.46,0.107,19.88,26.19,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"AZ","2",26.56,8.66,0.326,15.46,37.67,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"CA","1",0,0,0,0,0,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"CA","2",0,0,0,0,0,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"CO","1",15.27,4.67,0.305,9.29,21.25,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"CO","2",8.37,5.11,0.61,1.82,14.92,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"ID","1",0,0,0,0,0,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"ID","2",0,0,0,0,0,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"MT","1",16.4,3.67,0.224,11.69,21.1,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"MT","2",0,0,0,0,0,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"NV","1",21.01,3.4,0.162,16.65,25.37,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"NV","2",30.36,5.82,0.192,22.89,37.82,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"NM","2",3.14,3.23,1.029,0,7.28,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"OR","1",22.76,4.87,0.214,16.52,29,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"OR","2",23.61,13.07,0.554,6.85,40.36,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"SD","2",0,0,0,0,0,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"UT","1",4.48,4.6,1.027,0,10.37,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"UT","2",50.48,9.56,0.189,38.22,62.73,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"WA","2",50,49.13,0.983,0,100,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"WY","1",9.36,2.1,0.225,6.66,12.05,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"40. Estimated % of BLM range acres that meet this condition",18,"WY","2",6.3,8.75,1.39,0,17.52,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"42. Estimated BLM range acres that meet this condition",18,"BLM","NA",35561757,3782879,0.106,30713802,40409712,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"42. Estimated BLM range acres that meet this condition",18,"AZ","2",4053417,1425555,0.352,2226495,5880340,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"42. Estimated BLM range acres that meet this condition",18,"CA","1",0,0,0,0,0,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"42. Estimated BLM range acres that meet this condition",18,"CA","2",0,0,0,0,0,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"42. Estimated BLM range acres that meet this condition",18,"CO","1",352869,108561,0.308,213742,491995,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
"42. Estimated BLM range acres that meet this condition",18,"CO","2",508358,311894,0.614,108650,908066,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","2020"
