"","Ecoregion","Year","Indicator_Name","Indicator_Number","Ecoregion_name","Value","SE","CV","CI_Lower","CI_Upper","Indicator","xlab","ylab","var_type","figure_title","Index","figure_title_edit","caption","BLM.Sample","BLM.Acres","Value2","CI_Lower2","CI_Upper2","Flag"
"21","All BLM Range","2011","30. Estimated BLM range acres with all 3 rangeland health attributes <= 2",13,"All.BLM.Range",114219039,3621470,0.03,109576314,118861763,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (<=2)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) where all 3 rangeland health attributes had none-to-slight or slight-to-moderate departure from reference conditions (<= 2)",26,"BLM rangeland acres (millions) where all 3 rangeland health attributes had none-to-slight or slight-to-moderate departure from reference conditions (<= 2)","",1079,151105636,114.219039,109.576314,118.861763,NA
"22","All BLM Range","2011","58. Estimated BLM range acres that meet this condition",23,"All.BLM.Range",26177420,3019711,0.12,22306150,30048689,"AT LEAST 40% OF THE LAND IS BARE GROUND","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with at least 40% bare ground",45,"BLM rangeland acres (millions) with at least 40% bare ground","",1079,151105636,26.17742,22.30615,30.048689,NA
"23","All BLM Range","2011","61. Estimated BLM range acres that meet this condition",24,"All.BLM.Range",16258325,2769895,0.17,12707319,19809331,"AT LEAST 50% OF THE LAND IS BARE GROUND","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with at least 50% bare ground",47,"BLM rangeland acres (millions) with at least 50% bare ground","",1079,151105636,16.258325,12.707319,19.809331,NA
"24","All BLM Range","2011","56. Estimated % of BLM range acres that meet this condition",23,"All.BLM.Range",17.32,2.1,0.12,14.63,20.02,"AT LEAST 40% OF THE LAND IS BARE GROUND","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with at least 40% bare ground (80% confidence interval) ",44,"Proportion of BLM rangelands with at least 40% bare ground (80% confidence interval) ","",1079,151105636,17.32,14.63,20.02,NA
"25","All BLM Range","2011","3. Estimated BLM range acres with BI <= 2",1,"All.BLM.Range",120758594,3351853,0.03,116461518,125055670,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2)",2,"BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2)","",1079,151105636,120.758594,116.461518,125.05567,NA
"26","All BLM Range","2011","42. Estimated BLM range acres that meet this condition",17,"All.BLM.Range",13002380,2180980,0.17,10206364,15798396,"25% OR GREATER OF FOLIAR COVER COMPOSED OF NON-NATIVE INVASIVE SPECIES","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) where non-native invasive species are abundant (>= 25%)",34,"BLM rangeland acres (millions) where non-native invasive species are abundant (>= 25%)","",1079,151105636,13.00238,10.206364,15.798396,NA
"27","All BLM Range","2011","46. Estimated % of BLM range acres that meet this condition",19,"All.BLM.Range",12.52,1.87,0.15,10.12,14.91,"AT LEAST 20% OF THE LAND HAS INTERCANOPY GAPS OF AT LEAST 2 M AND THE GAPS ARE AT LEAST 50% BARE GROUND","Year","Percent of rangeland acres on BLM-administered lands ","percent","Proportion of BLM rangelands with at least 20% of land having intercanopy gaps of at least 2 meters and gaps are at least 50% bare ground (80% confidence interval) ",37,"Proportion of BLM rangelands where at least 20% of land has intercanopy gaps of at least 2 meters and at least 50% bare ground (80% confidence interval)","",1079,151105636,12.52,10.12,14.91,NA
"28","All BLM Range","2011","37. Estimated % of BLM range acres that meet this condition",16,"All.BLM.Range",57.44,2.13,0.04,54.71,60.16,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with non-native invasive species present (80% confidence interval) ",31,"Proportion of BLM rangelands with non-native invasive species present (80% confidence interval) ","",1079,151105636,57.44,54.71,60.16,NA
"29","All BLM Range","2011","12. Estimated BLM range acres with HF <= 2",5,"All.BLM.Range",122303177,3587728,0.03,117703710,126902645,"HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ",10,"BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ","",1079,151105636,122.303177,117.70371,126.902645,NA
"30","All BLM Range","2011","36. Estimated BLM range acres with at least 1 rangeland health attribute = 3",15,"All.BLM.Range",18732861,1876661,0.1,16326981,21138741,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) where at least 1 rangeland health attribute had moderate departure from reference conditions (= 3)",30,"BLM rangeland acres (millions) where at least 1 rangeland health attribute had moderate departure from reference conditions (= 3)","",1079,151105636,18.732861,16.326981,21.138741,NA
"31","All BLM Range","2011","45. Estimated BLM range acres that meet this condition",18,"All.BLM.Range",62179493,3055887,0.05,58261846,66097140,"AT LEAST 20% OF THE LAND HAS INTERCANOPY GAPS OF AT LEAST 2 M","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with at least 20% of land having intercanopy gaps of at least 2 meters in length ",36,"BLM rangeland acres (millions) with at least 20% of land having intercanopy gaps of at least 2 meters in length ","",1079,151105636,62.179493,58.261846,66.09714,NA
"32","All BLM Range","2011","Estimated BLM range acres with HF >= 3",7,"All.BLM.Range",14111147,1241153,0.09,12519989,15702304,"HYDROLOGIC FUNCTION HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 3)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate or moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 3) ",14,"BLM rangeland acres (millions) with moderate or moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 3) ","",1079,151105636,14.111147,12.519989,15.702304,NA
"33","All BLM Range","2011","53. Estimated % of BLM range acres that meet this condition",22,"All.BLM.Range",27.87,2.45,0.09,24.72,31.01,"AT LEAST 30% OF THE LAND IS BARE GROUND","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with at least 30% bare ground (80% confidence interval) ",42,"Proportion of BLM rangelands with at least 30% bare ground (80% confidence interval) ","",1079,151105636,27.87,24.72,31.01,NA
"34","All BLM Range","2011","52. Estimated BLM range acres that meet this condition",21,"All.BLM.Range",68760050,4262745,0.06,63295211,74224888,"AT LEAST 20% OF THE LAND IS BARE GROUND","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with at least 20% bare ground",41,"BLM rangeland acres (millions) with at least 20% bare ground","",1079,151105636,68.76005,63.295211,74.224888,NA
