Indicator_Name,Indicator_Number,Ecoregion_name,Ecoregion,Value,SE,CV,CI_Lower,CI_Upper,Indicator,Year,xlab,ylab,var_type,figure_title,Index,figure_title_edit,caption
12. Estimated BLM range acres with HF <= 2,5,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,1942948,12064,0.01,1927487,1958408,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2017,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,10,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,
12. Estimated BLM range acres with HF <= 2,5,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,1439863,346259,0.24,995960,1883767,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2011,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,10,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,
12. Estimated BLM range acres with HF <= 2,5,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,1206795,515373,0.43,546318,1867272,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2019,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,10,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,
12. Estimated BLM range acres with HF <= 2,5,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,1747833,210427,0.12,1478160,2017507,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2015,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,10,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,
12. Estimated BLM range acres with HF <= 2,5,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,661071,666976,1.01,0,1515835,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2012,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,10,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,
12. Estimated BLM range acres with HF <= 2,5,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,1807494,149277,0.08,1616188,1998799,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2018,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,10,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,
13. Estimated % of BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,30.91,13.21,0.43,13.97,47.84,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2014,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,11.3,12.23,1.08,0,26.99,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2011,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,66.01,72.56,1.1,0,100,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2012,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,20.07,21.69,1.08,0,47.87,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2016,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2017,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,9.86,10.85,1.1,0,23.77,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2015,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,7.15,7.59,1.06,0,16.89,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2018,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,23.2,25.52,1.1,0,55.9,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2019,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
15. Estimated BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,183494,196791,1.07,0,435780,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2011,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,1284056,1263217,0.98,0,2902933,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2012,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,371789,402172,1.08,0,887193,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2016,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2017,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,191287,210369,1.1,0,460886,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2015,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,608811,260426,0.43,275063,942560,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2014,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,423963,465373,1.1,0,1020363,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2019,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,139286,147724,1.06,0,328602,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2018,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
16. Estimated % of BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2011,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2015,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2012,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2016,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2017,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2018,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,10.77,12.21,1.13,0,26.41,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2019,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2014,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
18. Estimated BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2012,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),16,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),
18. Estimated BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2011,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),16,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),
18. Estimated BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2015,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),16,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),
18. Estimated BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2017,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),16,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),
18. Estimated BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2014,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),16,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),
18. Estimated BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,196849,220193,1.12,0,479037,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2019,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),16,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),
18. Estimated BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2018,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),16,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),
18. Estimated BLM range acres with HF >= 4,8,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,0,0,0,0,0,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2016,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),16,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),
19. Estimated % of BLM range acres with SSS <= 2,9,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,33.99,72.56,2.14,0,100,SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2),2012,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,17,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,
19. Estimated % of BLM range acres with SSS <= 2,9,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,80.19,21.78,0.27,52.28,100,SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2),2015,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,17,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,
19. Estimated % of BLM range acres with SSS <= 2,9,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,100,0,0,100,100,SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2),2017,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,17,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,
19. Estimated % of BLM range acres with SSS <= 2,9,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,66.03,26.68,0.4,31.84,100,SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2),2019,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,17,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,
19. Estimated % of BLM range acres with SSS <= 2,9,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,92.85,7.59,0.08,83.11,100,SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2),2018,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,17,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,
19. Estimated % of BLM range acres with SSS <= 2,9,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,89.96,10.85,0.12,76.07,100,SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2),2016,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,17,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,
19. Estimated % of BLM range acres with SSS <= 2,9,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,77.04,13.74,0.18,59.42,94.66,SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2),2011,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,17,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,
19. Estimated % of BLM range acres with SSS <= 2,9,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,61,20.67,0.34,34.51,87.49,SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2),2014,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,17,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ,
21. Estimated BLM range acres with SSS <= 2,9,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,1206795,515373,0.43,546318,1867272,SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2),2019,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) ,18,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) ,
21. Estimated BLM range acres with SSS <= 2,9,SOUTH.CENTRAL.SEMI.ARID.PRAIRIES,South-Central Semi-Arid Prairies,1201585,407237,0.34,679689,1723481,SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2),2014,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) ,18,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) ,
