Indicator_Name,Indicator_Number,Ecoregion_name,Ecoregion,Value,SE,CV,CI_Lower,CI_Upper,Indicator,Year,xlab,ylab,var_type,figure_title,Index,figure_title_edit,caption
12. Estimated BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,127344839,2675420,0.02,123916150,130773529,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2018,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,10,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,
12. Estimated BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,128209516,2946183,0.02,124433831,131985202,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2017,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,10,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,
12. Estimated BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,129098766,2042987,0.02,126480573,131716959,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2019,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,10,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,
12. Estimated BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,122303177,3587728,0.03,117703710,126902645,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2011,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,10,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,
13. Estimated % of BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,4.65,0.87,0.19,3.53,5.76,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2017,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,7.2,0.66,0.09,6.36,8.05,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2016,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,7.35,0.94,0.13,6.14,8.56,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2011,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,8.18,0.93,0.11,6.99,9.37,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2014,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,7.85,0.88,0.11,6.72,8.98,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2015,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,11.37,1.59,0.14,9.33,13.41,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2012,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,6.74,0.64,0.1,5.92,7.56,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2018,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,4.08,0.88,0.22,2.95,5.21,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2019,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
15. Estimated BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,15600769,2280383,0.15,12678341,18523197,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2012,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,6399501,1206749,0.19,4852989,7946012,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2017,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,12101123,1384491,0.11,10326826,13875420,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2014,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,10026571,1237716,0.12,8439819,11613324,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2011,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,9322814,867877,0.09,8210584,10435044,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2018,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
