Indicator_Name,Indicator_Number,State,Type,Value,SE,CV,CI_Lower,CI_Upper,Indicator,Year,xlab,ylab,var_type,figure_title,Index,figure_title_edit,caption
1. Estimated % of BLM range acres with BI <= 2,1,BLM,NA,85.88,1.42,0.02,84.07,87.70,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2017,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,NA,85.41,1.04,0.01,84.08,86.75,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2016,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,2,92.52,1.85,0.02,90.14,94.89,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2019,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,1,91.58,1.07,0.01,90.21,92.95,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2017,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
10. Estimated % of BLM range acres with HF <= 2,5,BLM,1,90.11,1.07,0.01,88.74,91.48,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2012,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,9,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,
10. Estimated % of BLM range acres with HF <= 2,5,BLM,NA,89.66,0.94,0.01,88.45,90.86,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2011,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,9,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,
10. Estimated % of BLM range acres with HF <= 2,5,BLM,NA,89.97,1.15,0.01,88.50,91.44,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2014,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,9,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,
10. Estimated % of BLM range acres with HF <= 2,5,BLM,NA,92.09,0.77,0.01,91.10,93.07,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2018,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,9,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,
10. Estimated % of BLM range acres with HF <= 2,5,BLM,NA,85.16,1.50,0.02,83.23,87.09,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2012,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,9,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,
10. Estimated % of BLM range acres with HF <= 2,5,BLM,NA,89.62,0.92,0.01,88.44,90.80,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2015,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,9,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,
