"Indicator_Name","Indicator_Number","State","Type","Value","SE","CV","CI_Lower","CI_Upper","Indicator","Year","xlab","ylab","var_type","figure_title","Index","figure_title_edit","caption"
"1. Estimated % of BLM range acres with BI <= 2",0,"WY",2,88.56,15.15,0.17,69.14,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)",2014,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",0,"WA",2,50,49.13,0.98,0,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)",2018,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",0,"WY",1,92.96,1.91,0.02,90.52,95.4,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)",2018,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",0,"WY",2,100,0,0,100,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)",2018,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"UT",2,100,0,0,100,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"WA",2,100,98.26,0.98,0,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"WY",1,97.96,1.14,0.01,96.5,99.43,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"WY",2,100,0,0,100,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",0,"MT",2,100,0,0,100,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)",2016,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",0,"NV",1,93.89,1.33,0.01,92.19,95.59,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)",2016,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
